date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,latitude,longitude,height
08-Apr-08,0,8.8,1,-0.2,1,-3,0,0.1,991.6,6,0,11,0,220,0,15,6.05,1.2,1.7,7.2,7.2,-0.5,53.303,-6.437,91
09-Apr-08,0,9.5,0,2.5,0,1,2,0,988.4,7.2,0,13,0,270,0,16,7.35,1.5,2.1,8.6,8.6,1,53.303,-6.437,91
10-Apr-08,0,10.4,0,2.9,1,-0.1,0,0.9,982.4,9.3,0,18,0,270,0,24,7.775,2.1,3.1,9.6,9.6,2.1,53.303,-6.437,91
11-Apr-08,0,10.8,0,2.5,1,-1.4,0,2.9,981,10.1,0,18,0,280,0,26,7.575,2.1,3.1,8.6,8.6,1.3,53.303,-6.437,91
12-Apr-08,0,9.1,0,1.9,0,0.7,0,8.3,989.2,8.2,0,17,0,250,0,22,7.05,1.1,1.6,1.3,1.3,-5.9,53.303,-6.437,91
13-Apr-08,0,11.1,0,0.9,1,-1.4,0,1.5,1000,5.2,0,12,0,360,0,27,8.075,1.6,2.2,1.4,1.4,-5.5,53.303,-6.437,91
14-Apr-08,0,11.5,0,0.6,1,-1.6,3,0,1009.5,5.9,0,10,0,330,0,16,8.65,2.1,3,3.5,3.5,-3.1,53.303,-6.437,91
15-Apr-08,0,11.8,0,0,1,-4.6,3,0,1011.2,6,0,12,0,260,0,20,8.475,1.9,2.7,5.3,5.3,-1.1,53.303,-6.437,91
16-Apr-08,0,11.1,0,2.4,1,-4.7,3,0,1006.2,10.2,0,19,0,110,0,25,8.4,2.2,3.5,7.5,7.5,1.2,53.303,-6.437,91
17-Apr-08,0,7.6,0,4.9,0,3.1,2,0,998,14.5,0,23,0,80,0,35,7.275,2,3.1,9.3,9.3,3.2,53.303,-6.437,91
18-Apr-08,0,8.5,0,3.8,0,0.9,0,0,991.6,16.2,0,23,0,70,0,36,6.45,1.6,2.5,10.8,10.8,4.8,53.303,-6.437,91
19-Apr-08,0,8.7,0,5.7,0,5.9,0,1.6,991.2,15.9,0,22,0,70,0,36,6.825,1.7,2.6,10.7,10.7,4.9,53.303,-6.437,91
20-Apr-08,0,7.6,0,6,0,5.5,0,1.8,995,11.5,0,17,0,80,0,26,7.2,0.7,1.1,9.6,9.6,3.9,53.303,-6.437,91
21-Apr-08,0,12.2,0,6.8,0,6.4,2,0,998.4,9.2,0,16,0,100,0,23,9.4,2.2,3.2,11.6,11.6,6.1,53.303,-6.437,91
22-Apr-08,0,16.4,0,6,0,3.5,0,1,997.8,8.7,0,16,0,150,0,22,11.6,3.1,4.5,13.4,13.4,8.2,53.303,-6.437,91
23-Apr-08,0,16.2,0,5.2,0,2.6,2,0,1000.2,9,0,15,0,180,0,21,12.075,2.6,3.7,15.6,15.6,10.7,53.303,-6.437,91
24-Apr-08,0,14,0,7,0,5.4,0,2.1,1003.7,12.5,0,21,0,200,0,34,11.5,2.4,3.8,15.6,15.6,11,53.303,-6.437,91
25-Apr-08,0,16.1,0,7.9,0,5.3,0,0.2,1008.3,13.5,0,24,0,200,0,33,11.275,2,3,17.1,17.1,12.9,53.303,-6.437,91
26-Apr-08,0,16,0,6.5,0,9.6,2,0,1004.8,11.2,0,24,0,200,0,33,12.6,1.9,2.8,18.8,18.8,14.7,53.303,-6.437,91
27-Apr-08,0,14.6,0,3.8,0,2,0,2.5,998.8,5.5,0,15,0,220,0,20,11.225,2,2.9,18,18,14.2,53.303,-6.437,91
28-Apr-08,0,12.9,0,3.2,0,5.8,0,4.5,989.7,8.6,0,18,0,240,0,23,11.25,1.9,2.8,15,15,11.5,53.303,-6.437,91
29-Apr-08,0,12.2,0,1.9,1,-2.1,2,0,984.4,8.1,0,17,0,40,0,24,10.525,2.3,3.6,17.1,17.1,13.8,53.303,-6.437,91
30-Apr-08,0,11.4,0,4.8,0,3.1,3,0,982.8,10,0,17,0,310,0,24,9.8,1.7,2.5,18.5,18.5,15.4,53.303,-6.437,91
01-May-08,0,14.4,0,4.3,0,2.5,0,0.2,992,10.4,0,17,0,240,0,23,10.5,2.8,4.1,20.6,20.6,17.9,53.303,-6.437,91
02-May-08,0,15.8,0,4.4,1,-2.1,2,0,1002.8,8.8,0,17,0,190,0,25,11.65,2.7,3.9,22.8,22.8,20.4,53.303,-6.437,91
03-May-08,0,19.5,0,10.2,0,8.8,0,1.5,1003.7,13.5,0,24,0,160,0,35,14,3.5,5,24.1,24.1,22,53.303,-6.437,91
04-May-08,0,19,0,10,0,11.2,0,0.2,1005.8,11.6,0,23,0,170,0,32,15.675,3.2,4.6,26.4,26.4,24.6,53.303,-6.437,91
05-May-08,0,19.1,0,6.9,0,3.5,3,0,1013,6.6,0,12,0,50,0,19,16.275,3.7,5.2,29.2,29.2,27.8,53.303,-6.437,91
06-May-08,0,20.2,0,9.5,0,7.2,3,0,1011.3,6,0,13,0,90,0,19,17.25,3.5,4.8,31.8,31.8,30.6,53.303,-6.437,91
07-May-08,0,21.9,0,10,0,4,3,0,1007,6.5,0,13,0,80,0,19,18.225,4.1,5.6,34.7,34.7,33.9,53.303,-6.437,91
08-May-08,0,22.1,0,11.6,0,8.3,3,0,1001.2,10.6,0,21,0,110,0,27,19.075,4.1,5.5,37.5,37.5,37,53.303,-6.437,91
09-May-08,0,16,0,12.3,0,13,0,0.3,1001.8,4.1,0,11,0,120,0,15,16.575,1.5,2,38.2,38.2,37.8,53.303,-6.437,91
10-May-08,0,16.5,0,11.6,0,11.6,0,4.9,1007.6,5,0,10,0,70,0,15,15.5,1.6,2.2,34.4,34.4,34.1,53.303,-6.437,91
11-May-08,0,19.9,0,10.7,0,6.5,2,0,1009.6,5.4,0,11,0,70,0,15,17.325,3,4.1,36.4,36.4,36.4,53.303,-6.437,91
12-May-08,0,19.6,0,11.5,0,10.9,3,0,1008.8,7.2,0,14,0,80,0,19,18.675,3.5,4.9,38.8,38.8,39,53.303,-6.437,91
13-May-08,0,15.8,0,10.2,0,6.6,3,0,1009.9,9.3,0,15,0,80,0,23,18.2,3.2,4.8,40.9,40.9,41.3,53.303,-6.437,91
14-May-08,0,15.1,0,9.4,0,8.2,3,0,1006.5,9.8,0,15,0,70,0,24,18.225,3.4,5.1,43,43,43.6,53.303,-6.437,91
15-May-08,0,13.6,0,6.8,0,2.2,3,0,1002.2,7.8,0,13,0,80,0,22,17.625,3,4.6,44.8,44.8,45.6,53.303,-6.437,91
16-May-08,0,16.4,0,5.6,0,0,3,0,999.3,5.2,0,14,0,90,0,20,17.625,2.9,4.1,46.6,46.6,47.5,53.303,-6.437,91
17-May-08,0,14.5,0,2.3,0,0,0,0.1,1000,7.7,0,14,0,80,0,20,16.6,2.1,3.1,47.7,47.7,48.7,53.303,-6.437,91
18-May-08,0,13.1,0,5.9,0,8.5,0,2.7,1004.8,8.4,0,13,0,90,0,20,15.8,2.6,3.8,46.4,46.4,47.5,53.303,-6.437,91
19-May-08,0,14.7,0,5.5,0,1.4,3,0,1006.8,6.7,0,14,0,130,0,18,14.025,2.7,3.8,48,48,49.2,53.303,-6.437,91
20-May-08,0,13.1,0,4.9,1,-2.9,3,0,1005.7,8.8,0,16,0,140,0,24,12.575,2.3,3.1,49.3,49.3,50.6,53.303,-6.437,91
21-May-08,0,15.9,0,9.9,0,6.3,0,3.4,1002.2,8.2,0,22,0,100,0,31,15.775,3.7,5.2,47.9,47.9,49.4,53.303,-6.437,91
22-May-08,0,13.1,0,9.3,0,9.2,0,7.6,1000,7.7,0,15,0,140,0,23,13.325,1.4,1.9,41,41,42.6,53.303,-6.437,91
23-May-08,0,17.8,0,9.9,0,5.4,2,0,1001.4,7.7,0,16,0,80,0,25,14.025,2.7,3.8,42.7,42.7,44.4,53.303,-6.437,91
24-May-08,0,15.5,0,9.9,0,10.1,2,0,1005.2,11,0,18,0,80,0,29,15.3,3.2,5,44.7,44.7,46.6,53.303,-6.437,91
25-May-08,0,17,0,8.8,0,5.9,0,0.7,1007.4,13.8,0,24,0,60,0,41,14.475,3.1,4.6,45.9,45.9,47.8,53.303,-6.437,91
26-May-08,0,16.3,0,9.2,0,8.9,0,1.8,1006.8,16.3,0,22,0,60,0,36,15.525,3.8,5.9,46.3,46.3,48.4,53.303,-6.437,91
27-May-08,0,10.9,0,7.8,0,8.2,0,13.3,1002.2,10.5,0,17,0,60,0,30,11.85,0.9,1.3,33.5,33.5,35.7,53.303,-6.437,91
28-May-08,0,14.5,0,9.5,0,8.2,0,0.1,996.2,4.7,0,9,0,260,0,12,13.45,1.4,1.9,34.4,34.4,36.6,53.303,-6.437,91
29-May-08,0,18.3,0,9,0,6,0,0.1,1000.3,4.5,0,10,0,200,0,13,14.55,2.2,2.9,35.8,35.8,38.1,53.303,-6.437,91
30-May-08,0,20.6,0,11,0,10.2,0,0.2,1004.2,3.4,0,9,0,90,0,13,16.725,3.1,4.1,37.7,37.7,40.2,53.303,-6.437,91
31-May-08,0,23,0,9,0,5.6,3,0,1006.5,4,0,8,0,70,0,13,19,4.1,5.5,40.4,40.4,43,53.303,-6.437,91
01-Jun-08,0,19.6,0,9.7,0,4.9,3,0,1005.3,5.6,0,11,0,80,0,17,19.05,4.2,5.9,43.1,43.1,45.9,53.303,-6.437,91
02-Jun-08,0,20,0,8,0,2,2,0,1001.3,5.4,0,17,0,240,0,25,19.9,3.7,5.2,45.4,45.4,48.3,53.303,-6.437,91
03-Jun-08,0,18.7,0,8.5,0,5.9,3,0,1002.4,9.2,0,17,0,270,0,24,19.05,3.7,5.4,47.5,47.5,50.5,53.303,-6.437,91
04-Jun-08,0,14.3,0,8.6,0,3.5,0,2.4,1002.6,8,0,17,0,200,0,26,15.25,1.7,2.4,46.1,46.1,49.2,53.303,-6.437,91
05-Jun-08,0,13,0,3.7,0,1.8,0,0.9,1005.5,3.4,0,9,0,220,0,13,13.875,1.4,1.8,46,46,49.1,53.303,-6.437,91
06-Jun-08,0,17.4,0,7.7,0,6.1,2,0,1008.2,8.1,0,14,0,280,0,19,15.75,3.2,4.6,47.8,47.8,51,53.303,-6.437,91
07-Jun-08,0,20.5,0,6.6,0,3.8,3,0,1010.8,5,0,10,0,220,0,14,19.225,3.8,5.3,50,50,53.3,53.303,-6.437,91
08-Jun-08,0,21,0,9.2,0,5.5,3,0,1013.8,4.7,0,11,0,280,0,16,19.975,2.8,3.8,51.6,51.6,54.9,53.303,-6.437,91
09-Jun-08,0,23.3,0,12.7,0,13.8,0,0,1014.9,11.7,0,22,0,260,0,28,22.175,4.1,5.9,53.8,53.8,57.2,53.303,-6.437,91
10-Jun-08,0,20.5,0,11.2,0,11.9,0,0,1016.2,9.4,0,15,0,280,0,22,21.925,4,5.6,55.8,55.8,59.3,53.303,-6.437,91
11-Jun-08,0,16.7,0,10.2,0,12.4,0,2.8,1013.3,6.3,0,13,0,240,0,16,19.325,1.9,2.6,53.9,53.9,57.5,53.303,-6.437,91
12-Jun-08,0,15.6,0,6,0,5.3,3,0,1011.5,6.1,0,11,0,320,0,18,16.8,2.2,3,55.1,55.1,58.6,53.303,-6.437,91
13-Jun-08,0,16.1,0,7.1,0,0.7,2,0,1008.9,6.2,0,12,0,300,0,18,16.75,2.6,3.5,56.3,56.3,59.9,53.303,-6.437,91
14-Jun-08,0,16,0,6,0,3.9,0,2,1005.4,5.8,0,14,0,310,0,20,16.55,2.4,3.3,55.5,55.5,59.1,53.303,-6.437,91
15-Jun-08,0,14.9,0,5.8,0,2.6,0,0.2,1002.3,3.8,0,12,0,280,0,16,16.45,2,2.6,56.3,56.3,59.9,53.303,-6.437,91
16-Jun-08,0,18.1,0,4.6,0,2.2,3,0,1001.5,5.5,0,11,0,280,0,16,17.8,2.9,3.9,57.7,57.7,61.4,53.303,-6.437,91
17-Jun-08,0,19.2,0,9.1,0,6.1,0,5.3,996.4,11.9,0,21,0,230,0,32,16.95,3.1,4.4,53.9,53.9,57.6,53.303,-6.437,91
18-Jun-08,0,16.6,0,9.3,0,9.7,0,15.9,989.8,11,0,23,0,210,0,31,14.9,1.7,2.6,38.9,38.9,42.6,53.303,-6.437,91
19-Jun-08,0,18,0,8.3,0,6.6,0,0.4,995.8,12.3,0,21,0,250,0,30,14.525,3.2,5,40.5,40.5,44.4,53.303,-6.437,91
20-Jun-08,0,17.8,0,7.7,0,5.9,3,0,1004.2,7,0,14,0,270,0,18,16.1,3.5,4.8,42.7,42.7,46.7,53.303,-6.437,91
21-Jun-08,0,17.5,0,8.9,0,4.9,0,19.2,997.2,8.9,0,18,0,80,0,26,14.175,1.4,1.9,24.4,24.4,28.3,53.303,-6.437,91
22-Jun-08,0,15.1,0,8.9,0,10.4,0,3,993.8,20.9,0,36,0,240,0,51,13.925,1.8,3.4,22.8,22.8,26.8,53.303,-6.437,91
23-Jun-08,0,17.1,0,7.4,0,5.4,2,0,1006.5,5.4,0,12,0,240,0,15,14.375,2.2,3.1,24.6,24.6,28.7,53.303,-6.437,91
24-Jun-08,0,16.5,0,10.1,0,7.1,0,1.7,1001.1,7.7,0,19,0,160,0,28,14.3,2.3,3,24.6,24.6,28.8,53.303,-6.437,91
25-Jun-08,0,19.1,0,11.1,0,9,0,0.1,997.7,17.2,0,27,0,260,0,40,15.175,3.6,5.5,27.3,27.3,31.6,53.303,-6.437,91
26-Jun-08,0,15.7,0,9.4,0,8.2,0,14.4,1001.1,13,0,22,0,220,0,32,14.05,1.8,2.7,14.2,14.2,18.6,53.303,-6.437,91
27-Jun-08,0,19.5,0,8.9,0,6.8,0,0.1,1001.2,13.8,0,22,0,260,0,30,15.175,2.1,3.3,15.9,15.9,20.4,53.303,-6.437,91
28-Jun-08,0,19.5,0,12.3,0,12.4,2,0,1002.7,12.4,0,20,0,230,0,29,16.15,2.7,3.8,18.2,18.2,22.8,53.303,-6.437,91
29-Jun-08,0,19.3,0,10.9,0,8.7,0,1.8,1003.3,13.7,0,23,0,270,0,31,15.775,3.5,5.2,19.4,19.4,24.1,53.303,-6.437,91
30-Jun-08,0,20.8,0,10.9,0,8.4,2,0,1002.5,13.9,0,26,0,200,0,38,16.275,3.3,4.8,22.1,22.1,26.9,53.303,-6.437,91
