date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,latitude,longitude,height
08-Apr-08,0,8.7,1,-0.1,1,-1.6,0,0.1,992.4,6.5,0,10,0,260,0,13,5.75,1.1,1.6,6.1,6.1,-1.2,53.423,-6.238,71
09-Apr-08,0,10.2,0,2.6,0,1.4,2,0,989.2,8.1,0,13,0,280,0,17,6.775,1.7,2.5,7.7,7.7,0.5,53.423,-6.238,71
10-Apr-08,0,10.4,0,1.5,0,2.6,0,0.3,983.4,8.8,0,17,0,270,0,21,7.875,1.8,2.8,9.2,9.2,2.1,53.423,-6.238,71
11-Apr-08,0,10.3,0,0.7,1,-2.2,0,4.1,981.8,10.4,0,19,0,260,0,29,7.325,1.8,2.8,6.7,6.7,-0.3,53.423,-6.238,71
12-Apr-08,0,9.1,0,1.1,0,0,0,3.3,989.9,9.2,0,18,0,250,0,22,6.425,1.2,1.8,4.5,4.5,-2.4,53.423,-6.238,71
13-Apr-08,0,11.1,0,1.3,1,-0.1,0,3.8,1000.8,6.4,0,12,0,310,0,31,7.55,1.6,2.4,2.2,2.2,-4.4,53.423,-6.238,71
14-Apr-08,0,11.4,0,0.4,1,-1.5,3,0,1010.4,8,0,15,0,330,0,22,7.6,2,3,4.2,4.2,-2.2,53.423,-6.238,71
15-Apr-08,0,11.8,0,0.7,1,-2.8,3,0,1012.2,8,0,14,0,270,0,22,7.7,2,3,6.1,6.1,-0.1,53.423,-6.238,71
16-Apr-08,0,9.9,1,-0.6,1,-5.3,3,0,1007.5,11.8,0,19,0,120,0,26,8.15,1.7,3,7.7,7.7,1.6,53.423,-6.238,71
17-Apr-08,0,8.4,0,4.8,0,3.5,2,0,999.2,18.7,0,26,0,80,0,34,7.95,2,3.5,9.6,9.6,3.6,53.423,-6.238,71
18-Apr-08,0,9.1,0,3.6,0,2.3,0,0,992.9,19.2,0,24,0,80,0,34,7.35,1.6,2.6,11,11,5.1,53.423,-6.238,71
19-Apr-08,0,9.4,0,5.9,0,5.2,0,0.2,992.5,19,0,25,0,60,0,37,7.825,1.8,2.9,12.4,12.4,6.7,53.423,-6.238,71
20-Apr-08,0,8,0,5.8,0,4.7,0,1.1,996.2,13.8,0,19,0,80,0,26,7.15,0.8,1.2,12,12,6.5,53.423,-6.238,71
21-Apr-08,0,11.9,0,6.7,0,5.8,0,0,999.6,11,0,16,0,50,0,21,8.9,2.1,3.2,13.9,13.9,8.5,53.423,-6.238,71
22-Apr-08,0,13.3,0,3.7,0,0.4,0,3.8,999,10.5,0,17,0,140,0,25,11.025,2.1,3.4,11.9,11.9,6.8,53.423,-6.238,71
23-Apr-08,0,16.5,0,5.8,0,3.9,0,0.6,1001.3,9.5,0,16,0,130,0,23,11.925,2.7,3.9,13.7,13.7,8.9,53.423,-6.238,71
24-Apr-08,0,15,0,7.6,0,6.3,0,1.4,1004.5,13,0,24,0,280,0,33,11.4,2.6,3.9,14.6,14.6,10.1,53.423,-6.238,71
25-Apr-08,0,14.7,0,7.8,0,5.7,0,0.1,1009.3,11.7,0,20,0,200,0,27,10.55,1.6,2.4,15.9,15.9,11.6,53.423,-6.238,71
26-Apr-08,0,16.2,0,5.5,0,10.3,2,0,1005.8,10.5,0,19,0,220,0,26,12.1,1.9,2.7,17.5,17.5,13.5,53.423,-6.238,71
27-Apr-08,0,13.8,0,2.4,0,0.2,0,0.2,999.8,6.4,0,14,0,130,0,19,11.75,2.1,3.1,19.1,19.1,15.4,53.423,-6.238,71
28-Apr-08,0,13.7,0,4.8,0,4.8,0,0.8,990.5,10.1,0,18,0,260,0,22,11.2,2,3,20,20,16.5,53.423,-6.238,71
29-Apr-08,0,12.1,0,0.3,1,-3.1,3,0,985.2,10,0,19,0,20,0,26,11.075,2.1,3.4,21.7,21.7,18.4,53.423,-6.238,71
30-Apr-08,0,11.4,0,5.1,0,3.1,2,0,983.4,13.6,0,18,0,310,0,29,10.275,2,2.9,23.3,23.3,20.2,53.423,-6.238,71
01-May-08,0,13.9,0,4.5,0,3.4,0,0.3,992.8,11.7,0,19,0,270,0,26,10.675,2.7,4.1,25.1,25.1,22.3,53.423,-6.238,71
02-May-08,0,15.8,0,2.9,1,-1.9,0,0.2,1004.1,9.6,0,17,0,140,0,22,11.625,2.3,3.4,26.7,26.7,24.2,53.423,-6.238,71
03-May-08,0,16.9,0,9.4,0,8.6,0,2,1005.3,15.9,0,24,0,140,0,31,13.8,2.9,4.7,26.9,26.9,24.7,53.423,-6.238,71
04-May-08,0,19.2,0,11.1,0,11.2,0,0.2,1007.3,10.5,0,17,0,160,0,26,15.35,3.3,4.6,29.2,29.2,27.3,53.423,-6.238,71
05-May-08,0,16.4,0,7.7,0,5.3,0,0,1014.3,7.3,0,13,0,110,0,17,15.8,3.3,4.8,31.6,31.6,30,53.423,-6.238,71
06-May-08,0,19,0,7.1,0,5.1,0,0,1012.6,6.8,0,15,0,120,0,21,16.725,3.4,4.8,34,34,32.7,53.423,-6.238,71
07-May-08,0,19.4,0,6.4,0,2.7,3,0,1008.1,6.1,0,13,0,110,0,22,17.3,3.4,4.8,36.4,36.4,35.3,53.423,-6.238,71
08-May-08,0,19.4,0,7.8,0,4.9,0,0.3,1002.6,7.3,0,15,0,90,0,18,17.25,3,4.3,38.1,38.1,37.3,53.423,-6.238,71
09-May-08,0,15.7,0,11.9,0,11.6,0,1.9,1003,4.8,0,9,0,100,0,11,15.875,1.5,2,37.2,37.2,36.5,53.423,-6.238,71
10-May-08,0,16.2,0,10.8,0,10.7,0,5.4,1008.5,5.5,0,10,0,70,0,15,14.95,1.6,2.2,32.8,32.8,32.3,53.423,-6.238,71
11-May-08,0,18.3,0,6.5,0,4.8,2,0,1010.8,4.5,0,9,0,50,0,12,16.225,2.8,3.9,34.8,34.8,34.5,53.423,-6.238,71
12-May-08,0,17.4,0,8.7,0,8.8,0,0,1010.1,7.8,0,14,0,60,0,18,17.275,3,4.5,36.9,36.9,36.7,53.423,-6.238,71
13-May-08,0,15.4,0,8.7,0,4.9,3,0,1011.2,11.7,0,17,0,50,0,22,16.7,3.1,5,38.9,38.9,39,53.423,-6.238,71
14-May-08,0,14.7,0,8.2,0,7.1,3,0,1007.5,11.7,0,17,0,50,0,23,16.35,3.2,5.1,41,41,41.3,53.423,-6.238,71
15-May-08,0,13,0,3.1,0,2.6,3,0,1003.2,8.9,0,15,0,50,0,21,16.175,2.5,4.2,42.6,42.6,43,53.423,-6.238,71
16-May-08,0,14.8,0,2.8,0,0.7,3,0,1000.5,7,0,14,0,90,0,19,15.875,2.6,4,44.2,44.2,44.8,53.423,-6.238,71
17-May-08,0,13.9,0,2.4,0,0.1,2,0,1001.2,10,0,17,0,80,0,20,15.55,1.9,3.1,45.3,45.3,46,53.423,-6.238,71
18-May-08,0,12.7,0,2.4,0,8.2,0,2.4,1006.2,10.2,0,16,0,90,0,20,15.475,2.4,4,44.3,44.3,45.1,53.423,-6.238,71
19-May-08,0,14.1,0,1.7,1,-1.2,2,0,1007.9,8.7,0,18,0,140,0,24,14.225,2.3,3.5,45.7,45.7,46.6,53.423,-6.238,71
20-May-08,0,13.4,0,0.6,1,-1.8,0,0,1006.8,10.7,0,20,0,130,0,27,14.25,2.5,4.1,47.2,47.2,48.2,53.423,-6.238,71
21-May-08,0,14,0,9.8,0,8.1,0,1.6,1003.6,13,0,24,0,130,0,31,15.25,3,4.6,47.3,47.3,48.5,53.423,-6.238,71
22-May-08,0,12.8,0,10,0,9.1,0,9,1001,10,0,17,0,140,0,24,13.35,1.2,1.8,39,39,40.3,53.423,-6.238,71
23-May-08,0,16.7,0,8.6,0,6.3,0,0,1002.7,10.6,0,19,0,80,0,25,14.05,2.7,4.2,40.8,40.8,42.2,53.423,-6.238,71
24-May-08,0,15.1,0,9.3,0,9.3,2,0,1006.4,14,0,22,0,50,0,32,14.65,2.9,4.7,42.6,42.6,44.1,53.423,-6.238,71
