date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,latitude,longitude,height
08-Apr-08,0,9.6,0,3, , ,0,1.3,1002.1,4.3,0,10,0,200,0,13, , , , , , ,51.789,-8.24,40
09-Apr-08,0,10.9,0,1.7, , ,0,0.1,999,8,0,17,0,260,0,20, , , , , , ,51.789,-8.24,40
10-Apr-08,0,9,0,4.6, , ,0,4.6,993.6,15.4,0,28,0,240,0,40, , , , , , ,51.789,-8.24,40
11-Apr-08,0,10,0,4.5, , ,0,4.1,994.3,18,0,28,0,290,0,41, , , , , , ,51.789,-8.24,40
12-Apr-08,0,11.9,0,5.6, , ,0,0.7,1001.1,13.1,0,19,0,260,0,25, , , , , , ,51.789,-8.24,40
13-Apr-08,0,12.6,0,5.4, , ,0,0,1011,8,0,15,0,310,0,20, , , , , , ,51.789,-8.24,40
14-Apr-08,0,12,0,5.4, , ,0,0,1020.2,6.5,0,13,0,230,0,16, , , , , , ,51.789,-8.24,40
15-Apr-08,0,12.2,0,3.2, , ,0,0,1019.8,6.2,0,13,0,130,0,17, , , , , , ,51.789,-8.24,40
16-Apr-08,0,11,0,8, , ,0,0,1010,20.5,0,26,0,90,0,35, , , , , , ,51.789,-8.24,40
17-Apr-08,0,10.9,0,6.1, , ,0,0,999.7,22.3,0,28,0,80,0,38, , , , , , ,51.789,-8.24,40
18-Apr-08,0,11.8,0,4.9, , ,0,0,994.4,21.2,0,27,0,70,0,37, , , , , , ,51.789,-8.24,40
19-Apr-08,0,8.9,0,6.5, , ,0,0.2,995.4,17.5,0,22,0,50,0,29, , , , , , ,51.789,-8.24,40
20-Apr-08,0,10.4,0,6.6, , ,0,1,1001.1,10.4,0,17,0,30,0,22, , , , , , ,51.789,-8.24,40
21-Apr-08,0,12.2,0,6.7, , ,0,0,1006.3,3.5,0,8,0,40,0,11, , , , , , ,51.789,-8.24,40
22-Apr-08,0,11.3,0,6.6, , ,0,6.9,1004.2,11.3,0,20,0,130,0,28, , , , , , ,51.789,-8.24,40
23-Apr-08,0,12.8,0,8.8, , ,0,1.9,1008.3,15.5,0,33,0,170,0,42, , , , , , ,51.789,-8.24,40
24-Apr-08,0,12.3,0,7.9, , ,0,3.7,1013.7,12,0,19,0,210,0,32, , , , , , ,51.789,-8.24,40
