date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,latitude,longitude,height
08-Apr-08,0,8.6,0,1.7, , ,0,0,999.1,6.8,0,14,0,320,0,16, , , , , , ,51.472,-9.423,21
09-Apr-08,0,9.8,0,3.8, , ,0,0.8,996.3,7.2,0,16,0,210,0,18, , , , , , ,51.472,-9.423,21
10-Apr-08,0,9.4,0,4, , ,0,1.7,990.8,10.9,0,22,0,240,0,31, , , , , , ,51.472,-9.423,21
11-Apr-08,0,9.9,0,4.1, , ,0,3,991.1,15.7,0,25,0,240,0,31, , , , , , ,51.472,-9.423,21
12-Apr-08,0,12.2,0,3.9, , ,0,1,998.1,10.3,0,20,0,210,0,27, , , , , , ,51.472,-9.423,21
13-Apr-08,0,12,0,4.8, , ,0,0.4,1007.7,12.5,0,23,0,320,0,31, , , , , , ,51.472,-9.423,21
14-Apr-08,0,12.8,0,4.3, , ,0,0,1017.2,8.6,0,14,0,210,0,17, , , , , , ,51.472,-9.423,21
15-Apr-08,0,11.6,0,3.5, , ,0,0,1017.9,7.2,0,13,0,180,0,16, , , , , , ,51.472,-9.423,21
16-Apr-08,0,10.3,0,7.3, , ,0,0,1009.4,16.5,0,22,0,120,0,31, , , , , , ,51.472,-9.423,21
17-Apr-08,0,10.4,0,6.7, , ,0,0,999.4,19.4,0,25,0,80,0,38, , , , , , ,51.472,-9.423,21
18-Apr-08,0,10.7,0,4, , ,0,1.3,993.6,16.2,0,24,0,60,0,38, , , , , , ,51.472,-9.423,21
19-Apr-08,0,8.6,0,6.2, , ,0,0.4,993.7,14.2,0,20,0,60,0,31, , , , , , ,51.472,-9.423,21
20-Apr-08,0,9.9,0,6.5, , ,0,0.6,998.9,8.3,0,13,0,50,0,20, , , , , , ,51.472,-9.423,21
21-Apr-08,0,12.2,0,7.9, , ,0,0,1003.8,5.5,0,11,0,10,0,14, , , , , , ,51.472,-9.423,21
22-Apr-08,0,11,0,6.2, , ,0,6.8,1002.8,9.5,0,18,0,140,0,24, , , , , , ,51.472,-9.423,21
23-Apr-08,0,12.1,0,6.9, , ,0,4,1006.7,13.5,0,25,0,150,0,35, , , , , , ,51.472,-9.423,21
24-Apr-08,0,13.6,0,7.9, , ,0,2.3,1011.6,13.3,0,23,0,240,0,29, , , , , , ,51.472,-9.423,21
25-Apr-08,0,11.1,0,9.5, , ,0,4.7,1015.7,15,0,21,0,200,0,27, , , , , , ,51.472,-9.423,21
26-Apr-08,0,13.6,0,7.4, , ,0,2.3,1012.7,11.3,0,20,0,200,0,24, , , , , , ,51.472,-9.423,21
27-Apr-08,0,11.7,0,6.1, , ,0,5.3,1006.6,6.8,0,17,0,170,0,24, , , , , , ,51.472,-9.423,21
28-Apr-08,0,13.4,0,6.5, , ,0,0.1,996.8,9.1,0,17,0,220,0,22, , , , , , ,51.472,-9.423,21
