date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,latitude,longitude,height
08-Apr-08,0,8.6,0,-0.2, , ,0,0,998.3,2.4,0,6,0,310,0,10, , , , , , ,52.158,-8.258,46
09-Apr-08,0,10.2,0,0, , ,0,0,995.3,3.4,0,10,0,270,0,15, , , , , , ,52.158,-8.258,46
10-Apr-08,0,9.4,0,1.5, , ,0,2.1,989.5,6.5,0,19,0,260,0,27, , , , , , ,52.158,-8.258,46
11-Apr-08,0,9.6,0,3, , ,0,3,989.5,9.9,0,17,0,280,0,30, , , , , , ,52.158,-8.258,46
12-Apr-08,0,12.4,0,-0.5, , ,0,0.4,996.8,5.2,0,13,0,260,0,21, , , , , , ,52.158,-8.258,46
13-Apr-08,0,12.1,0,2.8, , ,0,1.3,1007,5.3,0,13,0,350,0,22, , , , , , ,52.158,-8.258,46
14-Apr-08,0,12.3,0,0.3, , ,0,0,1016.6,4.1,0,9,0,350,0,15, , , , , , ,52.158,-8.258,46
15-Apr-08,0,14,0,0.4, , ,0,0,1017.3,2.9,0,10,0,170,0,15, , , , , , ,52.158,-8.258,46
16-Apr-08,0,10.8,0,2.3, , ,0,0,1009.2,9.8,0,18,0,110,0,29, , , , , , ,52.158,-8.258,46
17-Apr-08,0,10,0,4.2, , ,0,0,999.7,12.6,0,20,0,110,0,30, , , , , , ,52.158,-8.258,46
18-Apr-08,0,10.9,0,2.1, , ,0,0.1,993.8,10.6,0,19,0,50,0,26, , , , , , ,52.158,-8.258,46
19-Apr-08,0,9.6,0,6, , ,0,0.3,993.8,10,0,16,0,60,0,24, , , , , , ,52.158,-8.258,46
20-Apr-08,0,11.4,0,6.4, , ,0,0.3,998.8,6.8,0,11,0,60,0,18, , , , , , ,52.158,-8.258,46
21-Apr-08,0,13,0,7.3, , ,0,0,1003.2,3.6,0,11,0,40,0,14, , , , , , ,52.158,-8.258,46
22-Apr-08,0,13.2,0,1.6, , ,0,2.2,1002.1,4.7,0,12,0,150,0,20, , , , , , ,52.158,-8.258,46
23-Apr-08,0,14.9,0,2, , ,0,6.4,1005.4,8.1,0,16,0,160,0,26, , , , , , ,52.158,-8.258,46
24-Apr-08,0,14.7,0,6, , ,0,1.1,1010.2,7.1,0,14,0,240,0,21, , , , , , ,52.158,-8.258,46
25-Apr-08,0,14.5,0,8.9, , ,0,1.1,1014.4,8.2,0,15,0,180,0,24, , , , , , ,52.158,-8.258,46
26-Apr-08,0,15.9,0,7, , ,0,2.5,1011.3,4.9,0,13,0,200,0,21, , , , , , ,52.158,-8.258,46
27-Apr-08,0,13.9,0,1.8, , ,0,6.4,1005.6,3.6,0,13,0,180,0,19, , , , , , ,52.158,-8.258,46
28-Apr-08,0,12.4,0,3.7, , ,0,3,995.8,4.7,0,12,0,290,0,20, , , , , , ,52.158,-8.258,46
29-Apr-08,0,12.5,0,4.2, , ,0,3.2,989.3,7.6,0,19,0,30,0,29, , , , , , ,52.158,-8.258,46
30-Apr-08,0,13.2,0,3.7, , ,0,2.2,990.9,8.4,0,14,0,280,0,22, , , , , , ,52.158,-8.258,46
01-May-08,0,12.8,0,1, , ,0,2,999.3,3.7,0,11,0,210,0,17, , , , , , ,52.158,-8.258,46
02-May-08,0,14.4,0,3, , ,0,0.5,1007.4,6.1,0,12,0,160,0,21, , , , , , ,52.158,-8.258,46
03-May-08,0,15.7,0,10.6, , ,0,14.6,1006.7,8.3,0,11,0,140,0,26, , , , , , ,52.158,-8.258,46
04-May-08,0,16.8,0,9.1, , ,0,7.5,1010.8,6.9,0,12,0,200,0,21, , , , , , ,52.158,-8.258,46
05-May-08,0,15.2,0,6, , ,0,0,1018.7,4.8,0,9,0,190,0,15, , , , , , ,52.158,-8.258,46
06-May-08,0,18.1,0,7.2, , ,0,0,1015.4,5.9,0,12,0,100,0,18, , , , , , ,52.158,-8.258,46
07-May-08,0,18.6,0,8.3, , ,0,0,1010.7,5.4,0,12,0,100,0,18, , , , , , ,52.158,-8.258,46
08-May-08,0,17.7,0,8.4, , ,0,3.7,1005,5.7,0,15,0,110,0,23, , , , , , ,52.158,-8.258,46
09-May-08,0,16.4,0,11, , ,0,0,1007.2,5.2,0,10,0,280,0,15, , , , , , ,52.158,-8.258,46
10-May-08,0,16.9,0,10.9, , ,0,0,1013,4,0,8,0,300,0,11, , , , , , ,52.158,-8.258,46
11-May-08,0,19.9,0,11.1, , ,0,0,1014.5,2.9,0,7,0,120,0,11, , , , , , ,52.158,-8.258,46
12-May-08,0,22.1,0,9.4, , ,0,0,1013.2,3.4,0,10,0,100,0,17, , , , , , ,52.158,-8.258,46
13-May-08,0,22.2,0,8.2, , ,0,0,1012.2,6.2,0,15,0,110,0,23, , , , , , ,52.158,-8.258,46
14-May-08,0,20.3,0,8.2, , ,0,0,1009.8,6.3,0,11,0,20,0,18, , , , , , ,52.158,-8.258,46
15-May-08,0,17.9,0,6.8, , ,0,0,1006.3,4.7,0,12,0,40,0,18, , , , , , ,52.158,-8.258,46
16-May-08,0,15.6,0,8.9, , ,0,2.2,1004.2,2.5,0,7,0,110,0,11, , , , , , ,52.158,-8.258,46
17-May-08,0,16,0,8.9, , ,0,2.7,1004.7,3.4,0,7,0,70,0,11, , , , , , ,52.158,-8.258,46
18-May-08,0,12.6,0,9.5, , ,0,1.6,1009.4,4.5,0,10,0,90,0,15, , , , , , ,52.158,-8.258,46
19-May-08,0,15.7,0,6.7, , ,0,0.4,1011.5,4.5,0,10,0,140,0,18, , , , , , ,52.158,-8.258,46
20-May-08,0,13.1,0,6.5, , ,0,0.1,1009.1,6.9,0,11,0,140,0,22, , , , , , ,52.158,-8.258,46
21-May-08,0,13.7,0,10.8, , ,0,11.6,1004.8,8.8,0,13,0,100,0,26, , , , , , ,52.158,-8.258,46
22-May-08,0,16.8,0,10.2, , ,0,0.1,1003.2,4.8,0,9,0,180,0,15, , , , , , ,52.158,-8.258,46
23-May-08,0,16.3,0,10.1, , ,0,2.3,1004.5,6,0,11,0,90,0,16, , , , , , ,52.158,-8.258,46
24-May-08,0,19.5,0,10.6, , ,0,0,1008.3,11,0,20,0,40,0,29, , , , , , ,52.158,-8.258,46
25-May-08,0,17.6,0,8.6, , ,0,0.5,1009.7,12.2,0,21,0,50,0,32, , , , , , ,52.158,-8.258,46
26-May-08,0,17.3,0,9.5, , ,0,0.6,1009.3,13.2,0,22,0,50,0,35, , , , , , ,52.158,-8.258,46
27-May-08,0,12.4,0,8.8, , ,0,0.4,1005.8,9.2,0,18,0,40,0,28, , , , , , ,52.158,-8.258,46
28-May-08,0,17.3,0,8.8, , ,0,0,1001.7,3.2,0,6,0,300,0,9, , , , , , ,52.158,-8.258,46
29-May-08,0,16.4,0,7.1, , ,0,0.1,1005.8,5.3,0,12,0,90,0,18, , , , , , ,52.158,-8.258,46
30-May-08,0,19.7,0,10.6, , ,0,0,1009.5,2.9,0,8,0,160,0,13, , , , , , ,52.158,-8.258,46
31-May-08,0,21.1,0,10.1, , ,0,0.1,1011.9,2.9,0,8,0,150,0,14, , , , , , ,52.158,-8.258,46
01-Jun-08,0,22.4,0,7.9, , ,0,2.8,1010.7,2.8,0,11,0,90,0,20, , , , , , ,52.158,-8.258,46
02-Jun-08,0,19.2,0,10.2, , ,0,0,1007.1,3.7,0,11,0,180,0,16, , , , , , ,52.158,-8.258,46
03-Jun-08,0,18.4,0,5.8, , ,0,0,1009.2,4.8,0,11,0,220,0,20, , , , , , ,52.158,-8.258,46
04-Jun-08,0,16.2,0,6.7, , ,0,6.6,1007.8,6.3,0,12,0,180,0,20, , , , , , ,52.158,-8.258,46
05-Jun-08,0,16.3,0,4.5, , ,0,0,1012.3,5.1,0,13,0,270,0,19, , , , , , ,52.158,-8.258,46
06-Jun-08,0,17.4,0,3.4, , ,0,0,1015.2,3.5,0,8,0,280,0,15, , , , , , ,52.158,-8.258,46
07-Jun-08,0,18.8,0,3.5, , ,0,0,1017,3.5,0,9,0,190,0,14, , , , , , ,52.158,-8.258,46
08-Jun-08,0,20.1,0,10.9, , ,0,1.1,1020.2,3,0,7,0,280,0,12, , , , , , ,52.158,-8.258,46
09-Jun-08,0,23,0,13.8, , ,0,0.1,1022.3,5.5,0,11,0,310,0,19, , , , , , ,52.158,-8.258,46
10-Jun-08,0,20,0,13.2, , ,0,0,1023.2,7.7,0,11,0,320,0,19, , , , , , ,52.158,-8.258,46
11-Jun-08,0,19.4,0,11.7, , ,0,0.7,1020.2,6.7,0,12,0,280,0,21, , , , , , ,52.158,-8.258,46
12-Jun-08,0,15.7,0,8.4, , ,0,0.1,1018.3,6,0,11,0,340,0,18, , , , , , ,52.158,-8.258,46
13-Jun-08,0,16.9,0,7.6, , ,0,0,1015.7,5.4,0,9,0,300,0,16, , , , , , ,52.158,-8.258,46
14-Jun-08,0,17.4,0,7.6, , ,0,0,1011.8,4.3,0,9,0,330,0,15, , , , , , ,52.158,-8.258,46
15-Jun-08,0,16.8,0,5.3, , ,0,0,1008.5,4.5,0,9,0,330,0,16, , , , , , ,52.158,-8.258,46
16-Jun-08,0,17.2,0,6.8, , ,0,0,1008,4.7,0,9,0,310,0,14, , , , , , ,52.158,-8.258,46
17-Jun-08,0,17.7,0,9.4, , ,0,3.1,1003.3,6.9,0,14,0,230,0,27, , , , , , ,52.158,-8.258,46
18-Jun-08,0,15,0,9.6, , ,0,10.5,996.4,6.1,0,14,0,220,0,26, , , , , , ,52.158,-8.258,46
19-Jun-08,0,18.3,0,7, , ,0,2.3,1004.1,5.9,0,15,0,270,0,23, , , , , , ,52.158,-8.258,46
20-Jun-08,0,17,0,8.3, , ,0,0,1010.8,2.5,0,7,0,170,0,11, , , , , , ,52.158,-8.258,46
21-Jun-08,0,17.1,0,10.9, , ,0,38.4,1001,7.7,0,14,0,90,0,22, , , , , , ,52.158,-8.258,46
22-Jun-08,0,16.7,0,10.2, , ,0,0.9,1001.5,12.6,0,21,0,270,0,34, , , , , , ,52.158,-8.258,46
23-Jun-08,0,15.7,0,7.7, , ,0,0.4,1013.1,3.7,0,9,0,160,0,16, , , , , , ,52.158,-8.258,46
24-Jun-08,0,15,0,12.2, , ,0,5,1005.5,7.6,0,14,0,140,0,26, , , , , , ,52.158,-8.258,46
25-Jun-08,0,18.6,0,12, , ,0,0.6,1004.8,10.2,0,18,0,260,0,28, , , , , , ,52.158,-8.258,46
26-Jun-08,0,16.7,0,12.3, , ,0,17.9,1007.5,7.5,0,14,0,280,0,22, , , , , , ,52.158,-8.258,46
27-Jun-08,0,20.5,0,12.9, , ,0,1.7,1008.6,6.5,0,13,0,250,0,20, , , , , , ,52.158,-8.258,46
28-Jun-08,0,19.1,0,12.8, , ,0,0.9,1010.2,6.7,0,13,0,250,0,20, , , , , , ,52.158,-8.258,46
29-Jun-08,0,19,0,11.1, , ,0,0.7,1010.9,6.6,0,16,0,240,0,25, , , , , , ,52.158,-8.258,46
30-Jun-08,0,18.5,0,10.6, , ,0,0,1008.2,8,0,16,0,180,0,28, , , , , , ,52.158,-8.258,46
01-Jul-08,0,18,0,13.5, , ,0,11.1,999.3,10.8,0,15,0,170,0,28, , , , , , ,52.158,-8.258,46
02-Jul-08,0,16.5,0,11.5, , ,0,9.8,997.5,4.3,0,11,0,170,0,19, , , , , , ,52.158,-8.258,46
03-Jul-08,0,17.8,0,8.6, , ,0,0.8,1003.5,4.6,0,12,0,250,0,20, , , , , , ,52.158,-8.258,46
04-Jul-08,0,15.4,0,6, , ,0,14.6,1000.5,10.4,0,21,0,90,0,33, , , , , , ,52.158,-8.258,46
05-Jul-08,0,19.5,0,12.7, , ,0,8,992.5,6.9,0,13,0,90,0,23, , , , , , ,52.158,-8.258,46
06-Jul-08,0,17.6,0,11.9, , ,0,3.7,993.2,7.3,0,12,0,310,0,20, , , , , , ,52.158,-8.258,46
07-Jul-08,0,17,0,11.4, , ,0,1.4,996.9,7.5,0,14,0,270,0,22, , , , , , ,52.158,-8.258,46
08-Jul-08,0,18.4,0,10.3, , ,0,4,1002.3,6.1,0,11,0,290,0,16, , , , , , ,52.158,-8.258,46
09-Jul-08,0,18.8,0,12.8, , ,0,2.7,998.1,5.8,0,13,0,200,0,21, , , , , , ,52.158,-8.258,46
